link,article_link,article_published,article_title,article_text
http://edition.cnn.com/,http://rss.cnn.com/~r/rss/edition_world/~3/2_-lgBLFe24/index.html,2020-03-24T02:56:50,Prominent 30-year-old Zimbabwe broadcaster dies of coronavirus,"(CNN) A prominent 30-year-old television journalist has died in Zimbabwe after contracting the new coronavirus infection, the first person to die in the country from the virus.

Zororo Makamba was one of the two people who tested positive for coronavirus on Saturday.

He was admitted to hospital in the capital Harare after exhibiting flu-like symptoms last Thursday, the health ministry said in a statement.

Makamba contracted the disease while he was in New York and was in isolation at Wilkins hospital, Harare's only isolation facility.

Zimbabwe's health workers wear protective suits during a training exercise.

A childhood friend of Makamba's told CNN he was suffering from a rare condition known as Myasthenia gravis, a chronic, neuromuscular illness, and had undergone surgery to remove a tumor from his chest last year.

Read More"
http://edition.cnn.com/,http://rss.cnn.com/~r/rss/edition_world/~3/Y5fDu4rO8iQ/index.html,2020-03-24T03:03:04,South African President announces three-week lockdown over coronavirus,"Johannesburg (CNN) South Africa will enforce a three-week lockdown over coronavirus, President Cyril Ramaphosa announced Monday.

In a televised address to the nation, Ramaphosa said the 21-day lockdown will begin at midnight Thursday and he called on the country to ""urgently and dramatically"" escalate its response.

""Immediate, swift and extraordinary action is required if we are to avoid human costs of this virus,"" said Ramaphosa, adding that if the nation failed to act swiftly, it could face ""a human catastrophe of enormous proportions.""

In the week since the country declared a state of national disaster, the number of confirmed cases has increased sixfold, Ramaphosa said, especially troubling in a country with a large immune-suppressed population of HIV and tuberculosis suffers.

""The action we are taking now will have lasting economic costs,"" said Ramaphosa. ""But we are sure that the cost of not acting now will be far greater."""
http://edition.cnn.com/,http://rss.cnn.com/~r/rss/edition_world/~3/a758ey1Nb3c/index.html,2020-03-23T10:57:39,India coronavirus: Millions under lockdown as major cities restrict daily life,"(CNN) Millions of people across India have been placed under lockdown until the end of the month as efforts to halt the spread of the novel coronavirus in the country intensify.

Residents living in 75 districts across the country, including in major cities such as the capital New Delhi, Mumbai, Bangalore, Chennai, Hyderabad, and Kolkata have been placed under travel, work and movement restrictions until March 31.

India -- the world's second most populous country -- has 415 cases of the coronavirus, including seven deaths, according to the Ministry of Health and Family Welfare. A sudden rise in cases has led to growing concerns over the country's capacity to test for the virus and that a major outbreak on the scale seen in Europe -- the pandemic's new epicenter -- will spread in the country.

Dr. Balram Bhargava, director-general of the Indian Council of Medical Research, said that India has conducted 5,000 tests in the past week and a total of 15,000 so far. There are 111 labs operational with a per week testing capacity of 60,000 to 70,000 and around 60 more private labs are in the process of being approved to further increase testing capacity, according to Bhargava.

The decision to lock down parts of the country comes after India launched the world's biggest exercise in social distancing on Sunday, with the nation's 1.3 billion people asked to observe a self-imposed quarantine for 14 hours.

From 7 a.m. to 9 p.m. on Sunday, offices and businesses shut, people stayed inside their homes, and the usually busy streets, markets and highways were eerily empty across the nation. In a display of public solidarity expressing thanks to the nation's healthcare workers, people across India stood in their doorways and on balconies applauding, ringing bells and blowing conch shells, following similar scenes days prior in Italy and Spain.

The ""public curfew,"" announced by Indian Prime Minister Narendra Modi last week, was a test on whether an official curfew could be imposed across the country to stop the spread of Covid-19 . Those restrictions were extended across large parts of the country late Sunday, effectively forcing millions of workers in India's huge technology and financial sector to work from home for the rest of the month.

In New Delhi, public transportation, including the metro and rickshaws, has been suspended, all shops, factories, places of worship and offices have been shut, interstate travel has stopped, borders with neighboring states have closed and people are required to stay in their homes until March 31.

Exempt from the order are essential services such as grocery stores, hospitals, pharmacies, petrol stations, telecoms and postal services and restaurants that deliver food.

""Extraordinary times call for extraordinary measures,"" Delhi's Chief Minister Arvind Kejriwal tweeted on Sunday.

Several districts, including the financial capital of Mumbai, have banned gatherings of four or more people, and officials can take legal action against those who violate the rule.

Numerous state governments have extended the ""district-ban"" to include their entire states. In the northern Indian state of Punjab, the chief minister announced that, except for essential services, the whole state will be under a lockdown until March 31. Punjab has confirmed more than 20 cases, including one death.

Uttarakhand, Rajasthan and Telangana have all initiated state-wide lockdowns versus targeted restrictions of cities and districts.

The central government advised the restrictions in 75 districts as these are places where coronavirus cases have been reported. Local governments can extend those restrictions to other areas at their discretion.

Maharashtra state, which includes Mumbai and Pune, has reported the most cases, with at least 67 infections, according to government figures. Kerala reported at least 52 cases and New Delhi has at least 26.

In the past few weeks, India has taken unprecedented steps to shut its borders, cancel visas and ban passengers from certain countries from entering Indian airspace.

On Sunday, India suspended passenger train services until March 31 after several travelers tested positive for coronavirus. India's mammoth railway network spans more than 760 million kilometers (472 million miles) and carried 8 billion passengers in 2018-19.

Asia spurred into action

The measures in India come as other Asian nations see jumps in cases and rush to implement emergency measures of their own.

On Sunday, Thailand reported 188 new novel coronavirus cases, its biggest single-day rise, bringing its total to 599. Thailand's Ministry of Public Health has announced new measures, which include the closure of dine-in restaurants, shopping malls and amusement parks.

Fears of a second surge in cases from patients traveling from overseas has prompted officials in China to divert all Beijing-bound international flights to other cities starting on Monday.

China confirmed 39 additional cases of coronavirus as of the end of day Sunday, according to the country's National Health Commission -- all were imported cases.

Singapore said it will shut its borders to all short-term visitors and travelers transiting though the city starting from Monday, according to its Health Ministry, which said the majority of its new infections were ""imported cases.""

On Monday, New Zealand's Prime Minister Jacinda Ardern announced new measures that ""place the most significant restriction on New Zealanders' movements in modern history.""

The country will issue its highest alert level in 48 hours and close all non-essential businesses across the country, such as bars, gyms, and cinemas. All schools will be closed from Tuesday while supermarkets and service stations will remain open, Ardern said.

Australia has also taken unprecedented measures in its response to the pandemic. Businesses across the country on Monday followed the government's orders to shut down bars, restaurants, gyms, places of worship and other venues where people traditionally congregate.

""Life is changing in Australia for every Australian and life is going to continue to change,"" Prime Minister Scott Morrison said. ""For many young and old, 2020 will be the toughest year of our lives.""

The state of South Australia declared a ""major emergency"" and shut its border with the rest of the country on Sunday after an increase in confirmed cases from travelers entering the state.

South Australia's Premier Steven Marshall said anyone entering South Australia ""will be required to undertake 14 days of self-isolation.""

The country's biggest state, New South Wales, will shut down all ""non-essential services"" in an attempt to slow the spread of the virus. The measures come after both Tasmania and the Northern Territory introduced similar measures requiring all travelers to self-isolate for 14-days upon entry into the state.

Olympics could be postponed

As sporting events across the world have been canceled, one of the biggest questions remains over whether the Tokyo 2020 Summer Olympics will go ahead.

Speaking to lawmakers on Monday, Japanese Prime Minister Shinzo Abe said postponing the Olympics was a possibility.

The International Olympic Committee (IOC) said that a final decision on postponement will be made within four weeks, due to the vast complexities of rescheduling a massive global sporting event like the Olympics.

""The IOC's decision is along the lines of what I said before, of holding the event in its complete form. If that becomes difficult -- and thinking first about the health of the athletes -- we may have no option but to consider postponing the Games,"" Abe said, speaking at the budget committee in Japan's upper house of parliament.

It's the first time that Abe has changed his staunch public position that the Olympics will start on July 24 as scheduled.

In recent days, a growing number of countries and athletes have called for the Games to be postponed. On Monday, Canada announced that it wouldn't be sending athletes, making it the first country to back out of the Games.

""This is not solely about athlete health -- it is about public health,"" Team Canada said in a statement. ""With Covid-19 and the associated risks, it is not safe for our athletes, and the health and safety of their families and the broader Canadian community for athletes to continue training towards these Games.""

Australia's Olympic Committee has also told its athletes to prepare for the possibility that the Games could be postponed until 2021.

Scrapping the Olympics during peacetime would be unprecedented -- they have only been canceled before during the two World Wars."
http://edition.cnn.com/,http://rss.cnn.com/~r/rss/edition_world/~3/QMFlcPvz-Wc/uk-boris-johnson-coronavirus-restrictions-remarks-sot-vpx.cnn,2020-03-23T22:31:25,Boris Johnson issues stay-at-home order for UK to fight coronavirus pandemic,"The UK is banning people from leaving their homes apart from for a few ""very limited"" reasons, Prime Minister Boris Johnson announced, as he imposed the most stringent restrictions seen in Britain since the end of World War II."
http://edition.cnn.com/,http://rss.cnn.com/~r/rss/edition_world/~3/zliqmKkz34w/index.html,2020-03-23T05:39:23,Canada and Australia will not send athletes to Tokyo Olympics,"(CNN) Canada and Australia will not send athletes to the 2020 Olympic Games in Tokyo because of the risks associated with the coronavirus outbreak, the Olympic committees for both countries said in separate statements.

Both countries' Olympic committees also are calling for the Games to be postponed until 2021.

""While we recognize the inherent complexities around a postponement, nothing is more important than the health and safety of our athletes and the world community,"" the Canadian Olympic Committee and Canadian Paralympic Committee said in a joint statement Sunday. ""This is not solely about athlete health -- it is about public health.""

The Australian Olympic Committee's executive board met by teleconference Monday and unanimously agreed that an Australian Olympic team could not be assembled given the changing circumstances across the world, the committee said in a statement.

The committee also said ""our athletes now need to prioritise their own health and of those around them, and to be able to return to the families.""

Read More"
http://edition.cnn.com/,http://rss.cnn.com/~r/rss/edition_world/~3/F65d1K6fTfg/index.html,2020-03-19T14:15:06,China coronavirus: The fallout will only make Xi Jinping more powerful (opinion),"Andrew Coflan is a China analyst at Eurasia Group. The opinions expressed in this commentary are his own.

The quarantines and local-level lockdowns put in place to combat the coronavirus outbreak will likely cause Chinese economic output to decline in the first three months of the year -- the first contraction in more than four decades for what was formerly one of the world's fastest-growing economies. Though the extent and duration of the downturn will not be known for several months, it is already becoming clear that Chinese President Xi Jinping will leverage the crisis to further bolster his power as the country's leader as he seeks to return China to what he views as its rightful position as a preeminent global power.

This may seem surprising given Xi's initial response to the Covid-19 outbreak. Xi disappeared from sight for more than a week just days after Beijing was forced to acknowledge the virus, spurring social media speculations and criticism of his aloofness. This reflected especially poorly on Xi because the ruling Chinese Communist Party has long predicated its legitimacy on effective governance, including delivering consistent economic growth and rising standards of living.

So why is Xi poised to emerge from this crisis stronger than ever?

First, state-owned enterprises (SOEs) will be a key channel of post-outbreak stimulus. Xi has overseen a renaissance of the country's SOEs, forcing mergers to create national champions in key sectors, including rail, nuclear and renewable energy and building materials, among others. And with economic activity constrained by the measures taken to combat the coronavirus, SOEs will take on an even larger national role. They will likely receive much-needed financing, given their connections to state-owned banks. And Beijing is pushing for more infrastructure investment to support the economy, an area where SOEs play a prominent role.

Meanwhile, privately owned small and medium enterprises have been disproportionately impacted by the lockdowns that blanketed the entire country, as locally-owned shops and restaurants with thin cash margins and greater difficulties in restarting business activity face imminent bankruptcy. The result: a further shift in economic weight toward SOEs controlled by Beijing and focused on implementing Xi's policy priorities.

Read More"
http://edition.cnn.com/,http://rss.cnn.com/~r/rss/edition_world/~3/QIN7gxtIjQI/index.html,2020-03-23T18:03:11,3M CEO: Our medical masks should not be showing up in stores,"New York (CNN Business) Every respirator mask that's available right now should be going to a healthcare worker on the front lines, caring for coronavirus-infected patients. They should not be sold in stores to consumers, said 3M CEO Mike Roman in a CNBC interview Monday.

3M is the largest maker of medical face masks, specifically the N95 respirator mask.

Hospitals nationwide are facing an acute shortage of PPE (personal protective equipment) such as N95 masks, gloves and surgical gowns amid the coronavirus pandemic. In the United States, more than 38,000 Americans have been infected across all 50 states, and at least 414 people have died.

In light of this desperate need, Roman said 3M's N95 masks should not be showing up in stores, he told CNBC.

Roman said he was ""disappointed"" that the masks were selling in some stores over the weekend, alluding to Target.

Read More"
http://edition.cnn.com/,http://rss.cnn.com/~r/rss/edition_world/~3/G9LQGx2K-kQ/index.html,2020-03-23T11:10:46,SoftBank is selling assets to buy $18 billion of its own shares. Investors love it,"Hong Kong (CNN Business) SoftBank announced a mammoth plan Monday to sell $41 billion worth of assets, buy back shares and shore up its finances, giving the company's stock its best day in more than a decade.

The plan involves selling or liquidating up to 4.5 trillion Japanese yen ($41 billion) worth of holdings, which the Japanese tech group says will help it repurchase up to 2 trillion Japanese yen ($18 billion) in stock, its second big buyback in a month.

The remaining funds will be used to pay off debt, buy back bonds and improve cash flow, according to the company. It said the transactions would take place over the next year.

SoftBank SFTBF stock skyrocketed 18.6% in Tokyo after the plan was announced. It's the company's biggest daily percentage jump since November 2008.

ending December, largely due to the tech fund's bad bets on companies such as WeWork and Uber UBER SoftBank Group shares have lost nearly half their value in the past year as its splashy $100 billion Vision Fund struggles to move past a string of embarrassing losses. The company last month reported an almost complete knock-out in profits for the quarterending December, largely due to the tech fund's bad bets on companies such as WeWork and

Read More"
http://edition.cnn.com/,http://rss.cnn.com/~r/rss/edition_world/~3/yVIiQZwiQEA/index.html,2020-03-24T02:28:32,The entire Trump stock rally is gone,"New York (CNN Business) The Trump stock rally, which at its peak only last month seemed unending, has evaporated.

S&P 500 SPX The, the broadest measure of the US stock market, dropped below 2,264 points on Monday, falling past its closing level on January 19, 2017, the day before President Donald Trump took his oath of office.

Stocks finished in the red across the board on Monday, after t he Senate failed to agree on the multi-trillion economic relief package put forward by the administration.

The $2 trillion plan includes a proposal to provide $500 billion in loans and loan guarantees for distressed companies, states and localities, but thus far does not have clear guidelines on who is eligible or require companies that take the loans maintain their current workforce. Also at issue is how to deliver funds to states and localities.

Dow INDU . Thehad already wiped out its gains under the Trump White House last week. The index on Monday briefly dipped below its close on Election Day 2016 , but recovered slightly before the close

Read More"
http://edition.cnn.com/,http://rss.cnn.com/~r/rss/edition_world/~3/bK9QRlVRcHc/index.html,2020-03-19T22:08:11,Facebook has a coronavirus problem. It's WhatsApp.,"London (CNN Business) Governments and medical officials are scrambling to provide the public with accurate and timely information about the novel coronavirus. But those efforts are being undermined by the spread of medical misinformation and fake cures on one of the world's most popular messaging platforms.

WhatsApp, which is owned by, is coming under renewed scrutiny over how it handles misinformation as the coronavirus pandemic rampages across the globe, infecting more than 200,000 people and killing over 8,000, according to figures compiled by Johns Hopkins University.

The platform is being used to spread messages that often contain a mixture of accurate and misleading claims that have been debunked by medical experts. The problem is now so acute that world leaders are urging people to stop sharing unverified information using the app.

""I am urging everyone to please stop sharing unverified info on WhatsApp groups,"" Irish Prime Minister Leo Varadkar said Monday on Twitter . ""These messages are scaring and confusing people and causing real damage. Please get your info from official, trusted sources.""

The misinformation often arrives on smartphones in messages that have been forwarded by a friend or relative, and includes information purportedly from a prominent doctor or a friend of a friend who works in government. Many of the messages mix sound advice, such as how to wash your hands properly, with misinformation. One false claim that is circulating: drinking warm water every 15 minutes will neutralize the coronavirus.

Because WhatsApp messages are encrypted in a way that allows them to be seen only by the sender and recipient, public health officials and watchdog groups are struggling to track the spread of coronavirus misinformation. WhatsApp itself does not monitor the flow of messages on the platform.

""It is clear ... that a lot of false information continues to appear in the public sphere. In particular, we need to understand better the risks related to communication on end-to-end encryption services,"" European Commission Vice President Věra Jourová, who oversees the bloc's efforts to fight disinformation, said in a statement Tuesday.

WhatsApp says it has taken steps to curb misinformation, it is donating to fact checking groups and users can forward messages to special accounts that can verify information.

""There are over a dozen [local fact checkers] so far, and we want more to be able to do their important work so rumors are identified and countered,"" Will Cathcart, the head of WhatsApp, said Wednesday on Twitter.

WhatsApp is promoting the fact checking organizations and health ministries on Facebook, with free and special clickable ads that pull up a new WhatsApp chat with the corresponding organization.

Jourová welcomed the new measures but suggested more needs to be done to address the issue of misinformation.

""WhatsApp has informed the Commission about some measures it put in place to limit the spread of disinformation, but most of the problematic content seems to be the so-called organic content, i.e. generated by users themselves,"" she said.

Misinformation spreads

In recent days, CNN Business has seen multiple versions of a message with information purportedly from medical professionals concerning four young people infected with coronavirus who had been taking anti inflammatory drugs.

In one version, written in English, the young people are hospitalized in Cork, Ireland. In another, written in Hebrew, they are in Toulouse, France. Medical officials in both cities have dismissed the story of the four young people as fake. (For more on anti inflammatory drugs and coronavirus click here .)

One popular — but incorrect — theme is that ""hot fluids neutralize the virus, so avoid drinking ice water,"" or that drinking water every 15 to 20 minutes will flush the virus to your stomach where it will be killed by acid.

An image spread on WhatsApp and other platforms shows an illustration of a human head and throat. The accompanying message, written in Spanish, claims that drinking a lot of water and gargling with salt or vinegar will eliminate the virus. ""Spread this information because you could save someone,"" it says.

Other messages sent on WhatsApp have warned that countries will go on lockdown and that people need to stock up on supplies. In the United States, the messages claim the lockdown is part of the ""Stafford Act"" and that people should ""stock up on whatever you guys need to make sure you have a two week supply of everything."" The US National Security Council tweeted that this message is fake.

While similar messages are being shared via text and on other social media, their proliferation on WhatsApp and the difficulty in stopping them makes the service an outlier compared to sister platforms Facebook and Instagram, which have taken more robust and direct efforts to combat coronavirus misinformation. (All three platforms are owned by Facebook.)

How to stop the spread

WhatsApp, which compares itself to traditional SMS text services instead of social media platforms, encrypts conversations, meaning they only live on users' phones. Though encryption is seen as a plus for security, WhatsApp is blind to what's being said in messages — and that makes it difficult to police or moderate content.

On Facebook, third party fact checkers hunt down misinformation, and when they mark something as false, users are shown a message that directs them to a correcting or clarifying post before they are permitted to share the misinformation.

Cristina Tardáguila, associate director of the International Fact-Checking Network (IFCN), suggested last week that WhatsApp could include a message asking people ""are you sure this is true?"" before they send a message related to coronavirus.

But Carl Woog, a WhatsApp spokesperson, told CNN Business that it's not something the platform would be able to do because WhatsApp is encrypted, and that ""passing remote judgment on deciding what can be sent and not be sent in a real time message would be unprecedented"" for a text or SMS service.

Aviv Ovadya, founder of the Thoughtful Technology Project , pointed out on Twitter that WhatsApp has developed prompts for when users are sent suspicious website links. But the misinformation about the coronavirus shared on WhatsApp is often in plain text form.

WhatsApp has made efforts to assist health officials in getting accurate information to the public.

On Wednesday, the company announced it had donated $1 million to the IFCN, launched a coronavirus information page and said it would help organizations like the WHO and UNICEF provide messaging hotlines for people around the world.

Health ministries in countries such as Israel, Singapore, South Africa and Indonesia are already providing updates directly on WhatsApp, through automated accounts.

Last year, WhatsApp imposed limits on how many times a message could be forwarded, after viral hoax messages in India contributed to more than a dozen lynchings in 2018. Users can now only forward one message to five chats, and group sizes are limited to 256 members. Woog said these measures have decreased forwards on the service by 25%.

Ultimately experts say some of the best ways to counter misinformation are public education, teaching people about the coronavirus and how to be smart consumers of information.

But when asked whether WhatsApp would consider sending a mass message to all users, urging them to seek accurate information from official sources, Woog said it's not something they're technically able or planning to do.

""We believe the most important thing we can do is to empower health ministries and doctors to engage with citizens and patients right on WhatsApp,"" said Woog."
